	date	start_time	title	url	description
58	2014-09-25	2014-09-25 18:30:00	twenty one pilots at Terminal 5	751851311525567	twenty one pilot twenty one pilot tbp im who twenty one pilot thu september where ave
59	2017-11-04	2017-11-04 20:00:00	RL Grime - The Nova Tour - 2 Shows in NYC	463501373994506	rl grime nova tour in nyc second added saturday november vip package sale now smarturl it rl grime nova tour come to new york november with nova to for update u only because vip package one general admission vip early entry into venue specially designed rl grime tour exclusive to vip package only tour by rl grime exclusive vip merchandise item tour laminate limited availability new song stay for it feat out now smarturl it follow rl grime facebook twitter com instagram smarturl it
60	2012-10-08	2012-10-08 20:00:00	Jens Lekman at Terminal 5	809830905752119	jens lekman jens lekman
61	2015-04-15	2015-04-15 19:00:00	Walk the Moon at Terminal 5 on 4/15 (SOLD OUT)	1388570244784641	walk moon sold out walk moon bit ly who walk moon griswolds wed april where st new york ny
62	2012-08-07	2012-08-07 20:00:00	Bloc Party at Terminal 5	875831152474767	bloc party ticketf ly bloc party
63	2016-04-10	2016-04-10 18:00:00	DDT Live in Concert in NYC	1235199193163504	ddt live in concert in nyc ddt live in concert in nyc
64	2013-01-22	2013-01-22 20:00:00	Ellie Goulding at Terminal 5	482561765225445	ellie goulding january 7pm 8pm this is sold out see you there
65	2016-11-09	2016-11-09 19:00:00	Cole Swindell	1764385063833133	cole swindell cole swindell jon go sale friday noon
66	2012-04-10	2012-04-10 20:00:00	Pulp at Radio City Music Hall	904006202995920	pulp radio city music hall ticketf ly pulp radio city music hall
67	2016-12-09	2016-12-09 20:00:00	Thievery Corporation	1810060805893822	thievery corporation thievery corporation with city sun go sale friday noon
68	2014-01-19	2014-01-19 19:00:00	Disclosure at Terminal 5	704294759594804	disclosure disclosure vic mensa samo sound boy tbp im sold out who disclosure sun january where st ave
69	2014-04-29	2014-04-29 19:00:00	Timeflies at Terminal 5	511774098939181	timeflies timeflies tbp im who timeflies tue april where ave
70	2015-06-04	2015-06-04 19:00:00	Ride at Terminal 5 on 6/4 (SOLD OUT)	1552875821627202	ride sold out ride sold out bit ly who ride thu june where st new york ny
71	2012-03-09	2012-03-09 19:00:00	Young the Giant @ Terminal 5	632216653546480	young giant young giant performing live grouplove friday march 9th sale fri noon advance day for visit wwwterminal5nyccom
72	2017-05-20	2017-05-20 20:00:00	The Growlers	800145383458112	growler city club spring tour growler sat may new york ny advance day sale friday jan 12pm et
73	2015-04-01	2015-04-01 19:00:00	Jessie Ware at Terminal 5 on 4/1 (SOLD OUT)	773900549364199	jessie ware sold out jessie ware bit ly who jessie ware wed april where st new york ny
74	2011-10-15	2011-10-15 18:30:00	Soulive @ Terminal 5	824112561017130	soulive soulive come to saturday oct 15th lettuce horn advance day vip for visit wwwterminal5nyccom
75	2014-11-08	2014-11-08 20:00:00	FKA Twigs at Terminal 5	326296644203694	fka twig fka twig this is bit ly who fka twig saturday november where st ave
76	2016-08-16	2016-08-16 19:30:00	PJ Harvey	1712621112309692	pj harvey pj harvey
77	2014-05-01	2014-05-01 19:30:00	The Knife at Terminal 5 on 5/01	1402263040033544	knife knife tbp im 1gmocwt who knife thu may where ave
78	2017-04-28	2017-04-28 19:00:00	Bonobo Live: Terminal 5 - New York, NY *SOLD OUT*	1668237176821184	bonobo live new york ny sold out bonobo is back tour in with live band with support from romare are sold out thank you wwwterminal5nyccom purchase stream new album migration bonobo lnk to migration watch video for no reason feat nick murphy bonobo lnk to noreason youtube watch video for kerala bonobo lnk to kerala youtube watch video for break apart feat rhye bonobo lnk to breakapart youtube
79	2012-10-27	2012-10-27 21:00:00	Major Lazer at Terminal 5	629784907120954	major lazer major lazer
80	2012-11-21	2012-11-21 20:00:00	Of Monsters And Men at Terminal 5	752414381543856	monster men ticketf ly monster men
81	2012-07-26	2012-07-26 20:00:00	Frank Ocean: Channel Orange Tour at Terminal 5	607097342758678	frank ocean channel orange tour ticketf ly frank ocean channel orange tour
82	2013-04-04	2013-04-04 20:00:00	Frightened Rabbit at Terminal 5	684497268328724	frightened rabbit ticketf ly frightened rabbit with 7pm start 8pm this is an sold out
83	2014-05-29	2014-05-29 18:30:00	Ingrid Michaelson at Terminal 5	756562471034252	ingrid michaelson ingrid michaelson low tbp im who ingrid michaelson thu may where st ave
84	2013-10-16	2013-10-16 19:00:00	Savages at Terminal 5	1386953684870687	savage savage tbp im tbp im 19diu7h who savage wednesday october 16th 7pm 8pm where st ave note this ha been rescheduled from september from september will be honored october
85	2012-10-20	2012-10-20 19:30:00	The Royal Family Ball ft. Soulive & Lettuce at Terminal 5	826261464115093	royal family ball ft soulive lettuce ticketf ly royal family ball ft soulive lettuce
86	2016-11-04	2016-11-04 20:00:00	Griz	523665017819107	griz over gov issued id with haywyre geek vrv
87	2015-02-27	2015-02-27 19:00:00	Sleater-Kinney Terminal 5 on 2/27 (SOLD OUT)	752567264780626	sleaterkinney sold out sleaterkinney bit ly who sleaterkinney fri february where st new york ny
88	2014-10-28	2014-10-28 20:00:00	Twin Shadow at Terminal 5 (POSTPONED)	273049666211825	twin shadow postponed twin shadow bit ly who twin shadow tba where st ave
89	2013-03-26	2013-03-26 19:30:00	Bad Religion at Terminal 5	732300523553272	bad religion ticketf ly bad religion with special guest out single true north via youtube wwwyoutubecom
90	2014-10-26	2014-10-26 20:00:00	SBTRKT at Terminal 5	1456435961309664	sbtrkt sbtrkt this is bit ly bit ly who sbtrkt october where st ave
91	2014-11-22	2014-11-22 20:00:00	St. Lucia at Terminal 5 on 11/22	1521540768069085	st lucia st lucia this is bit ly who st lucia sat november where st ave
92	2011-11-02	2011-11-02 19:00:00	Third Day @ Terminal 5	958095210878043	third day third day tenth avenue north come live to november 2nd sale now general admission day for visit wwwterminal5nyccom
93	2013-05-18	2013-05-18 20:00:00	Josh Ritter &amp; The Royal City Band at Terminal 5	933078220069112	josh ritter royal city band josh ritter royal city band with special guest brother josh ritter new lover video com sale now advance day tinyurl com hope to see there
94	2017-08-29	2017-08-29 19:00:00	Little Dragon	1031521290312667	little dragon little dragon tuesday august 00pm sale friday april 12pm
95	2017-10-13	2017-10-13 19:00:00	Trombone Shorty & Orleans Avenue	1395656653813597	trombone shorty orleans avenue wfuv public radio present trombone shorty orleans avenue friday october saturday october 00pm each night go sale friday april 10am
96	2014-09-05	2014-09-05 19:00:00	Rudimental at Terminal 5	1428054797479160	rudimental rudimental this is bit ly bit ly who rudimental friday september where st ave
97	2016-02-18	2016-02-18 18:30:00	Best Coast	147536082275857	best coast best coast
98	2013-05-06	2013-05-06 21:00:00	Flying Lotus at Terminal 5	557821587582945	flying lotus ticketf ly red bull music academy present flying lotus with ultrasta thundercat band dj advance day are sale now free up your monday night for this one
99	2016-12-03	2016-12-03 20:00:00	M	1689255971339458	with
100	2016-10-26	2016-10-26 19:00:00	Local Natives	649903388496239	local native with charlotte day wilson charity local native believe in equality safety dignity people they have partnered with plus so that from every is going to support genderbased violence intervention prevention program
101	2014-06-20	2014-06-20 19:00:00	Little Dragon at Terminal 5 on 6/20	1496288897257762	little dragon little dragon lawrence rothman tbp im who little dragon fri june where st ave
102	2016-02-13	2016-02-13 20:00:00	Eric Prydz Presents EPIC 4.0	1188772677816961	eric prydz present epic eric prydz present epic
103	2015-01-30	2015-01-30 20:00:00	Cherub at Terminal 5 on 1/30	555828281220497	cherub cherub bit ly who cherub skull fri january where st new york ny
104	2016-10-07	2016-10-07 20:00:00	Goldroom + Autograf at Terminal 5	220094188390467	autograf over gov issued id with dirty
105	2011-01-18	2011-01-18 20:00:00	Broken Social Scene	981153901908586	broken social scene broken social scene january 7pm 8pm advance day go sale friday december 12pm est available by broken social scene for band with member after so many not to canada to top indie rock oil well it may bit to say that broken social scene still come surprise but their third record it remains bit that anyone outside about this band call it canadian but some thing just feel yet a dream into a few can now imagine that this band wa ever for than wild success truth is both view band are every turn ha for very reason it have
106	2012-11-20	2012-11-20 20:00:00	Of Monsters And Men at Terminal 5	883800158325035	monster men monster men tuesday november 20th are sale friday september 21st noon advance day can be purchased online wwwticketmastercomby calling mercury lounge box office houston st between ludlow essex sts mondaysaturday noon to or music hall williamsburg box office 6th st between kent wythe saturday am to time are subject to change price subject to service fee
107	2016-10-28	2016-10-28 20:30:00	Cypress Hill	941833922630195	cypress hill cypress hill
108	2015-05-07	2015-05-07 19:00:00	Slash featuring Myles Kennedy & The Conspirators at Terminal 5 on 5/7	1414780465488459	slash featuring myles kennedy conspirator world fire tour slash featuring myles kennedy conspirator bit ly who slash featuring myles kennedy conspirator thu may where st new york ny
109	2016-09-16	2016-09-16 20:00:00	Death Grips  SOLD OUT	1133229770083968	death grip sold out death grip
110	2016-09-22	2016-09-22 19:00:00	Explosions In the Sky	1698995503673141	in with
111	2017-03-01	2017-03-01 19:00:00	Run The Jewels: Run The World World Tour	1059244780853018	run jewel run world world tour run jewel with very special guest gaslamp killer nick hook gangsta boo cuz wednesday march west street new york ny wwwrunthejewelscomwwwrunthejewelscomtwitter runjewels
112	2016-10-05	2016-10-05 20:00:00	Kaytranada	1759799177625398	kaytranada kaytranada tour wed october this is over
113	2013-05-09	2013-05-09 20:00:00	James Blake at Terminal 5	879570548748931	james blake ticketf ly james blake with faltydl start sold out enjoy
114	2016-01-25	2016-01-25 19:00:00	G-Eazy - When It's Dark Out	144313252600172	geazy it dark out geazy it dark out
115	2016-02-14	2016-02-14 20:00:00	Eric Prydz Presents EPIC 4.0	909722645776927	eric prydz present epic eric prydz present epic
116	2016-12-10	2016-12-10 20:00:00	Jai Wolf at Terminal 5 with Jerry Folk	1038651316230716	jai wolf with jerry folk jai wolf north american tour with special guest jerry folk sat december this is over sale friday
117	2014-08-02	2014-08-02 20:00:00	Feed Me at Terminal 5	645781448848612	feed me feed me bit ly who feed me sat august where st ave
118	2013-09-08	2013-09-08 05:00:00	STRFKR at Terminal 5	490677917659789	strfkr ticketf ly strfkr 7pm start 8pm this is an you can still grab here tinyurl com enjoy
119	2016-11-10	2016-11-10 19:00:00	St. Paul and the Broken Bones	553183248198691	st paul broken bone with
120	2014-05-04	2014-05-04 19:00:00	CHVRCHES at Terminal 5 on 5/04	754450381267437	chvrches chvrches range tbp im who chvrches fri may where
121	2012-10-16	2012-10-16 20:00:00	Fiona Apple (2 SHOWS) at Terminal 5	685869291536033	fiona apple fiona apple
122	2012-04-06	2012-04-06 19:00:00	FEED ME with TEETH @ Terminal 5	1077840248898911	feed me with teeth feed me with teeth 12th dj live friday april 6th sale now for visit wwwterminal5nyccom if you purchased prior to limit change your will be honored any purchased after change will note limit must present issued id they are year or prior to venue
123	2014-01-10	2014-01-10 19:00:00	Jake Bugg at Terminal 5	587052914701550	jake bugg jake bugg hammond jr tbp im tbp im who jake bugg fri january where st ave
124	2014-07-16	2014-07-16 20:00:00	Flume at Terminal 5 on 7/16	1474259399477611	flume 3rd added by overwhelming demand flume bit ly who flume wed july where st ave
125	2015-10-17	2015-10-17 18:00:00	OVERKILL and Symphony X at Terminal 5 on 10/17	1559269304350336	overkill symphony overkill symphony sanctuary tbp im who overkill symphony sanctuary sat october where st new york ny
126	2012-05-07	2012-05-07 19:00:00	Spiritualized @ Terminal 5	812400885505367	spiritualized spiritualized live monday may 7th 00pm 00pm sale fri noon visit this link for wwwterminal5nyccom
127	2014-09-09	2014-09-09 19:00:00	Die Antwoord at Terminal 5	257350284456127	die antwoord die antwoord bit ly who die antwoord tue september where st ave
128	2014-07-22	2014-07-22 19:00:00	Juicy J at Terminal 5	872441892785741	juicy juicy project pat this is bit ly bit ly who juicy tue july where st ave
129	2014-10-11	2014-10-11 20:00:00	Porter Robinson at Terminal 5 on 10/11	661640310551446	porter robinson porter robinson giraffage lemaitre bit ly bit ly who porter robinson sat october where st ave
130	2017-02-03	2017-02-03 18:00:00	AFI at T5	1369869106366377	t5 nan
131	2016-04-23	2016-04-23 19:00:00	TOMORROW! Houndmouth at Terminal 5 w/ Rayland Baxter & Lucy Dacus	900183690031630	tomorrow houndmouth rayland baxter lucy dacus houndmouth april 23rd support from rayland baxter lucy dacus
132	2017-10-20	2017-10-20 20:00:00	Baauer x What So Not	1962071120703173	baauer what so not baauer what so not fri this is over follow what so not whatsonot com facebook whatsonot fm facebook twitter whatsonot fm twitter instagram whatsonot fm instagram soundcloud whatsonot fm soundcloud whatsonot fm radio follow baauer wwwbaauercomhttps wwwbaauercomhttps twitter com baauer
133	2016-02-19	2016-02-19 20:00:00	Madeon: Pixel Empire Tour	758687400927109	madeon pixel empire tour madeon pixel empire tour
134	2016-03-16	2016-03-16 18:00:00	Megadeth	902237803201306	megadeth megadeth
135	2012-04-29	2012-04-29 19:00:00	The Shins @ Terminal 5	1111511972198350	april wwwterminal5nyccom
136	2016-11-05	2016-11-05 20:00:00	RFS DU SOL	1620061711626332	over gov issued id with
137	2017-02-11	2017-02-11 19:00:00	Matoma: Party At Your Place! Tour - Sold Out	1810636439186040	matoma party your place tour sold out matoma party your place tour sat february advance day this is over sale fri november 12pm et
138	2015-04-07	2015-04-07 19:00:00	Chet Faker w/ XXYYXX at Terminal 5 on 4/7 (SOLD OUT)	881148038582123	chet faker xxyyxx sold out chet faker xxyyxx bit ly who chet faker xxyyxx tue april where st new york ny
139	2016-11-03	2016-11-03 20:00:00	Griz	1030951960354318	griz over gov issued id with haywyre geek vrv
140	2012-12-06	2012-12-06 20:00:00	Marina And The Diamonds at Terminal 5	827873797286092	marina diamond marina diamond
141	2013-10-30	2013-10-30 19:00:00	Matt Nathanson: Last of the Great Pretenders Tour w/ special guest Joshua Radin at Terminal 5	204389586405640	matt nathanson last great pretender tour special guest joshua radin matt nathanson last great pretender tour special guest joshua radin joshua radin tbp im tbp im who matt nathanson last great pretender tour special guest joshua radin wednesday october 30th 7pm 8pm where st ave
142	2013-04-06	2013-04-06 20:00:00	The Black Crowes at Terminal 5	850758394998627	black crowes ticketf ly an evening with black crowes 7pm start 8pm this is an sold out
143	2014-12-13	2014-12-13 20:00:00	Flosstradamus at Terminal 5 on 12/13	641204369330936	flosstradamus flosstradamus gta curtis williams two9 bit ly who flosstradamus sat december where st new york ny
144	2016-10-22	2016-10-22 20:00:00	What So Not w/ Mr.Carmack, Michael Chrismas & Sliink	1627184877610268	what so not mr carmack michael over gov issued id tour what so not with special guest mr carmack follow what so not whatsonot fm facebook whatsonot fm twitter whatsonot fm instagram whatsonot fm soundcloud whatsonot fm radio whatsonot fm whatsonot fm youtube now sale whatsonot fm nyc
145	2015-12-16	2015-12-16 19:00:00	Mac Miller	990895627635072	mac miller mac miller
146	2016-04-20	2016-04-20 19:00:00	Underworld	160491860999058	underworld underworld
147	2013-10-13	2013-10-13 05:00:00	Bonobo at Terminal 5	175109662641770	bonobo ticketf ly bonobo
148	2016-08-15	2016-08-15 19:30:00	PJ Harvey	605898856277743	pj harvey pj harvey
149	2017-10-31	2017-10-31 20:00:00	Shpongle - Simon Posford Presents The Shpongletron	1850458558597927	shpongle simon posford present shpongletron shpongle simon posford present shpongletron tue october new york ny
150	2015-03-07	2015-03-07 18:00:00	Pat Green at Terminal 5 on 3/7	831372453599447	pat green pat green bit ly who pat green sat march where st new york ny
151	2013-10-24	2013-10-24 19:00:00	The Black Crowes at Terminal 5	199357860246281	black crowes black crowes tbp im tbp im who black crowes thursday october 24th 7pm 8pm where st ave
152	2012-10-11	2012-10-11 20:00:00	SBTRKT at Terminal 5	825052874268638	sbtrkt thursday october west street nyc live with performance by kilo kish koreless nick hook sbtrkt live return to new york city support come very own kilo kish red bull music academy nick hook a well a koreless one music to red bull music academy term dont this might be your last chance to for quite while
153	2013-11-02	2013-11-02 19:00:00	They Might Be Giants at Terminal 5	232832653542452	they might be giant they might be giant tiger tbp im tbp im who they might be giant sat november where st ave
154	2017-08-19	2017-08-19 10:00:00	PLAY NYC	142360109640295	play nyc play nyc is new york first only game convention for creator player august 19th 20th manhattan concert venue will be with game from studio from developer old new play nyc every gaming in way that only big apple can weekend will feature two day game uniting developer player game like no other were every element game into this convention a well a every who love them from by popular to exciting digital live game play nyc is gaming in new york city main stage will be turned into weekend with some new york biggest including some throughout dont miss game throughout venue from some new york most creator
155	2014-12-05	2014-12-05 19:00:00	The 1975 at Terminal 5 on 12/05	243274539202426	this is bit ly who fri december where ave
156	2017-05-10	2017-05-10 19:00:00	Empire of The Sun	369002400123738	empire sun empire sun wed may sale friday noon
157	2017-07-20	2017-07-20 19:00:00	RIDE	1855257068046924	ride ride thursday july steel 00pm moved from
158	2016-12-12	2016-12-12 19:00:00	Mac Miller	114171322381795	mac miller tour mac miller with feat set by mon december sale friday 12pm et
159	2017-11-02	2017-11-02 19:00:00	Terminal 5	1857598927813143	nan
160	2017-01-27	2017-01-27 20:00:00	The Devil Makes Three	1611753909152706	devil make three with dog street band
161	2016-04-15	2016-04-15 20:00:00	Ween	1674877926068218	ween ween
162	2016-10-06	2016-10-06 19:00:00	Band of Skulls	528712523980818	band skull with mother
163	2012-06-08	2012-06-08 19:00:00	The Cult @ Terminal 5	880428678709961	cult cult me line performing live friday june 8th for wwwterminal5nyccom
164	2017-04-19	2017-04-19 07:00:00	Moderat - Terminal 5, New York	623893001144100	moderat new york to that shadow will be our support act in new york april concert open tix here bit ly
165	2012-09-19	2012-09-19 20:00:00	The Offspring at Terminal 5	832137360200407	offspring offspring
166	2014-11-05	2014-11-05 19:00:00	Jenny Lewis at Terminal 5 11/5	309340255937576	jenny lewis jenny lewis sold out bit ly who jenny lewis wed november where st new york ny
167	2017-02-09	2017-02-09 20:00:00	Sampha - New York [sold out]	2164715317087176	new york sold out go 00pm friday november 11th
168	2012-10-13	2012-10-13 20:00:00	Morrissey at Terminal 5	806311252778541	morrissey ticketf ly morrissey
